[2022-10-24T20:47:52.737+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_transform_unified_data manual__2022-10-24T20:45:52.828677+00:00 [queued]>
[2022-10-24T20:47:52.768+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_transform_unified_data manual__2022-10-24T20:45:52.828677+00:00 [queued]>
[2022-10-24T20:47:52.770+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-24T20:47:52.772+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 2
[2022-10-24T20:47:52.773+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-24T20:47:52.822+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_transform_unified_data> on 2022-10-24 20:45:52.828677+00:00
[2022-10-24T20:47:52.842+0000] {standard_task_runner.py:54} INFO - Started process 56380 to run task
[2022-10-24T20:47:52.867+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_transform_unified_data', 'manual__2022-10-24T20:45:52.828677+00:00', '--job-id', '555', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmpwv8p5_dh']
[2022-10-24T20:47:52.870+0000] {standard_task_runner.py:83} INFO - Job 555: Subtask load_and_transform_unified_data
[2022-10-24T20:47:52.873+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-24T20:47:53.178+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_transform_unified_data manual__2022-10-24T20:45:52.828677+00:00 [running]> on host c94e224fed05
[2022-10-24T20:47:53.607+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_transform_unified_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-24T20:45:52.828677+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-24T20:45:52.828677+00:00
[2022-10-24T20:49:04.755+0000] {logging_mixin.py:117} INFO - +---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
| id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|462|        173|    null|null| 6986.79|             Joshua|            Benson|  6234733926|     Brownchester|2022-10-18|
|351|       null|    null|   1| 16092.1|            Jessica|             House|        null|             null|2022-10-19|
|453|        736|    null|null|  736.77|            Rebecca|              Rose|  4010305253|      Veronicaton|2022-10-16|
|399|        423|    null|null| 7186.36|                Joy|         Mcfarland|  1480094646|     West Nichole|2022-10-17|
|501|       null|      13|null|  366.22|            Charles|            Wright|        null|             null|2022-10-17|
|570|        574|    null|null| 75673.5|           Kristina|              Bell|  0407757614|  Lake Jamesville|2022-10-17|
|425|         44|    null|null|  273.74|             Daniel|            Walker|  3629844076|    Michelleburgh|2022-10-15|
|110|       null|      17|null|    4.46|              Maria|         Gutierrez|        null|             null|2022-10-18|
|436|        367|    null|null|77044.28|            Melanie|            Fisher|  7840898875|       Grahamstad|2022-10-18|
|166|       null|    null|   1|    5.66|              Karla|            Duarte|        null|             null|2022-10-18|
|738|        748|    null|null|    5.71|               Kyle|         Rodriguez|  4416489816|    Port Loriview|2022-10-18|
| 38|        881|    null|null|  151.61|            Matthew|         Hendricks|  9044347780|    Michelleburgh|2022-10-15|
|822|        567|    null|null|    85.2|              Kevin|              Vang|  3870596599|      Lake Karina|2022-10-17|
|156|        217|    null|null|     6.5|               Sean|             Avila|  9585850561|    Michelleburgh|2022-10-16|
|573|        229|    null|null| 5436.88|           Jennifer|           Jackson|  5856995193|        Hicksview|2022-10-16|
|321|       null|      16|null| 5035.01|               Mary|            Garner|        null|             null|2022-10-17|
|804|        877|    null|null| 1532.64|              Kevin|            Horton|  0311159100|       Robertland|2022-10-15|
| 56|       null|    null|   1|12644.27|             Brandi|             Jones|        null|             null|2022-10-17|
|579|        678|    null|null|   78.27|              Brent|            Flores|  9104700586|    Port Loriview|2022-10-16|
|846|        664|    null|null|68330.31|             Joshua|              Page|  6636586183|         Allenton|2022-10-17|
|529|        867|    null|null| 8617.04|               Eric|            Little|  8389414916|        Smithberg|2022-10-16|
| 81|        112|    null|null|  129.89|             Carlos|             Banks|  2383969670|    Michelleburgh|2022-10-17|
|413|        607|    null|null|    1.83|            William|            Sparks|  5141364001|    Port Loriview|2022-10-16|
|331|       null|      17|null|   43.11|              Erika|           Perkins|        null|             null|2022-10-17|
|366|        540|    null|null| 4894.35|               Mark|              Pace|  3242567782|         Clayview|2022-10-18|
