[2022-10-25T01:22:52.304+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T01:20:03.657514+00:00 [queued]>
[2022-10-25T01:22:52.361+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T01:20:03.657514+00:00 [queued]>
[2022-10-25T01:22:52.365+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T01:22:52.369+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 2
[2022-10-25T01:22:52.373+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T01:22:52.539+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_enrich_transformed_data> on 2022-10-25 01:20:03.657514+00:00
[2022-10-25T01:22:52.585+0000] {standard_task_runner.py:54} INFO - Started process 10809 to run task
[2022-10-25T01:22:52.641+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_enrich_transformed_data', 'manual__2022-10-25T01:20:03.657514+00:00', '--job-id', '582', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmpsrbu9rgs']
[2022-10-25T01:22:52.673+0000] {standard_task_runner.py:83} INFO - Job 582: Subtask load_and_enrich_transformed_data
[2022-10-25T01:22:52.687+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-25T01:22:53.264+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T01:20:03.657514+00:00 [running]> on host 0c46e38e1c8e
[2022-10-25T01:22:53.833+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_enrich_transformed_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T01:20:03.657514+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T01:20:03.657514+00:00
[2022-10-25T01:24:58.800+0000] {logging_mixin.py:117} INFO - +---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
| id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|462|        173|      14|   1| 6986.79|             Joshua|            Benson|  6234733926|     Brownchester|2022-10-18|
|351|        105|       8|   1| 16092.1|            Jessica|             House|  1184635305|        Hicksview|2022-10-19|
|453|        736|      16|   1|  736.77|            Rebecca|              Rose|  4010305253|      Veronicaton|2022-10-16|
|399|        423|       5|   0| 7186.36|                Joy|         Mcfarland|  1480094646|     West Nichole|2022-10-17|
|501|         36|      13|   0|  366.22|            Charles|            Wright|  1567609788|       Averymouth|2022-10-17|
|570|        574|      17|   1| 75673.5|           Kristina|              Bell|  0407757614|  Lake Jamesville|2022-10-17|
|425|         44|      17|   0|  273.74|             Daniel|            Walker|  3629844076|    Michelleburgh|2022-10-15|
|110|        103|      17|   0|    4.46|              Maria|         Gutierrez|  4223604848|     West Nichole|2022-10-18|
|436|        367|      11|   0|77044.28|            Melanie|            Fisher|  7840898875|       Grahamstad|2022-10-18|
|166|        454|       2|   1|    5.66|              Karla|            Duarte|  1062639549|         Allenton|2022-10-18|
|738|        748|      14|   1|    5.71|               Kyle|         Rodriguez|  4416489816|    Port Loriview|2022-10-18|
| 38|        881|      17|   0|  151.61|            Matthew|         Hendricks|  9044347780|    Michelleburgh|2022-10-15|
|822|        567|      15|   1|    85.2|              Kevin|              Vang|  3870596599|      Lake Karina|2022-10-17|
|156|        217|       5|   1|     6.5|               Sean|             Avila|  9585850561|    Michelleburgh|2022-10-16|
|573|        229|       7|   0| 5436.88|           Jennifer|           Jackson|  5856995193|        Hicksview|2022-10-16|
|321|        320|      16|   0| 5035.01|               Mary|            Garner|  1320467508|    Port Loriview|2022-10-17|
|804|        877|      11|   1| 1532.64|              Kevin|            Horton|  0311159100|       Robertland|2022-10-15|
| 56|        629|      11|   1|12644.27|             Brandi|             Jones|  3239082144|     Brownchester|2022-10-17|
|579|        678|       8|   1|   78.27|              Brent|            Flores|  9104700586|    Port Loriview|2022-10-16|
|846|        664|       9|   1|68330.31|             Joshua|              Page|  6636586183|         Allenton|2022-10-17|
|529|        867|      10|   0| 8617.04|               Eric|            Little|  8389414916|        Smithberg|2022-10-16|
| 81|        112|      13|   1|  129.89|             Carlos|             Banks|  2383969670|    Michelleburgh|2022-10-17|
|413|        607|       5|   1|    1.83|            William|            Sparks|  5141364001|    Port Loriview|2022-10-16|
|331|        322|      17|   1|   43.11|              Erika|           Perkins|  9630319434|       Robertland|2022-10-17|
|366|        540|      19|   1| 4894.35|               Mark|              Pace|  3242567782|         Clayview|2022-10-18|
|177|        782|       1|   1|   53.71|             Krista|          Anderson|  3419056453|     West Nichole|2022-10-15|
|504|        194|      15|   1|   84.85|            Kristen|             Kelly|  8857757655|     Brownchester|2022-10-17|
|602|        294|       2|   0| 3194.55|              Brett|           Sanchez|  4587251147|      Melissafurt|2022-10-19|
|103|        785|      11|   0|    5.22|              Tracy|              West|  8305216379|     Brownchester|2022-10-19|
|443|         77|       2|   0|   64.55|              Tracy|             Hines|  7571120189|    Port Loriview|2022-10-17|
|310|        820|       1|   1|60244.35|               Todd|               Fox|  8510626700|  Lake Jamesville|2022-10-19|
|500|        192|       3|   0| 8238.75|              David|           Jackson|  4170797432|       Grahamstad|2022-10-15|
|283|        602|       6|   1|  773.05|              Frank|            Spears|  4998931880|New Marthaborough|2022-10-16|
| 15|        117|       7|   1|   61.65|               Sara|            Ortega|  1460596241|     Edwardsburgh|2022-10-15|
|759|         80|       4|   0|   13.67|             Nathan|           Charles|  4185641377|      Lake Karina|2022-10-19|
|316|        512|      15|   0|36414.84|            Kristin|             Floyd|  2321697235|      Melissafurt|2022-10-16|
|786|        709|       8|   0|    6.43|           Kathleen|             Dixon|  0230415921|       Averymouth|2022-10-18|
| 23|        213|      12|   1| 4522.85|              Logan|            Moreno|  1731566943|        Erikville|2022-10-17|
|836|        186|       7|   1|28592.95|             Ashley|         Alexander|  5879320019|      Lake Karina|2022-10-18|
|707|        215|      16|   0|41573.87|              Jacob|            Gibson|  5500603758|         Allenton|2022-10-17|
