[2022-10-25T01:28:40.295+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T01:20:03.657514+00:00 [success]>
[2022-10-25T01:28:40.340+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T01:20:03.657514+00:00 [success]>
[2022-10-25T01:28:40.343+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T01:28:40.348+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-10-25T01:28:40.353+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T01:28:40.393+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_enrich_transformed_data> on 2022-10-25 01:20:03.657514+00:00
[2022-10-25T01:28:40.432+0000] {standard_task_runner.py:54} INFO - Started process 11491 to run task
[2022-10-25T01:28:40.470+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_enrich_transformed_data', 'manual__2022-10-25T01:20:03.657514+00:00', '--job-id', '586', '--pool', 'default_pool', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmp3q_qxohp']
[2022-10-25T01:28:40.483+0000] {standard_task_runner.py:83} INFO - Job 586: Subtask load_and_enrich_transformed_data
[2022-10-25T01:28:40.492+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-25T01:28:41.197+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T01:20:03.657514+00:00 [running]> on host 0c46e38e1c8e
[2022-10-25T01:28:41.662+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_enrich_transformed_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T01:20:03.657514+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T01:20:03.657514+00:00
[2022-10-25T01:30:43.746+0000] {logging_mixin.py:117} INFO - +---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
| id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|462|        173|      20|   1| 6986.79|             Joshua|            Benson|  6234733926|     Brownchester|2022-10-18|
|351|        179|      19|   1| 16092.1|            Jessica|             House|  1620401178|    Port Loriview|2022-10-19|
|453|        736|      12|   0|  736.77|            Rebecca|              Rose|  4010305253|      Veronicaton|2022-10-16|
|399|        423|       8|   1| 7186.36|                Joy|         Mcfarland|  1480094646|     West Nichole|2022-10-17|
|501|        643|      13|   0|  366.22|            Charles|            Wright|  2261366077|     Brownchester|2022-10-17|
|570|        574|      19|   0| 75673.5|           Kristina|              Bell|  0407757614|  Lake Jamesville|2022-10-17|
|425|         44|       5|   1|  273.74|             Daniel|            Walker|  3629844076|    Michelleburgh|2022-10-15|
|110|        409|      17|   1|    4.46|              Maria|         Gutierrez|  4190662376|       Grahamstad|2022-10-18|
|436|        367|      11|   1|77044.28|            Melanie|            Fisher|  7840898875|       Grahamstad|2022-10-18|
|166|        551|      20|   1|    5.66|              Karla|            Duarte|  5388249900|        Smithberg|2022-10-18|
|738|        748|       7|   1|    5.71|               Kyle|         Rodriguez|  4416489816|    Port Loriview|2022-10-18|
| 38|        881|       5|   1|  151.61|            Matthew|         Hendricks|  9044347780|    Michelleburgh|2022-10-15|
|822|        567|       9|   1|    85.2|              Kevin|              Vang|  3870596599|      Lake Karina|2022-10-17|
|156|        217|      12|   1|     6.5|               Sean|             Avila|  9585850561|    Michelleburgh|2022-10-16|
|573|        229|       5|   1| 5436.88|           Jennifer|           Jackson|  5856995193|        Hicksview|2022-10-16|
|321|        435|      16|   1| 5035.01|               Mary|            Garner|  9197491022|      Melissafurt|2022-10-17|
|804|        877|      13|   0| 1532.64|              Kevin|            Horton|  0311159100|       Robertland|2022-10-15|
| 56|         49|       5|   1|12644.27|             Brandi|             Jones|  1318488706|     Edwardsburgh|2022-10-17|
|579|        678|      11|   0|   78.27|              Brent|            Flores|  9104700586|    Port Loriview|2022-10-16|
|846|        664|      13|   1|68330.31|             Joshua|              Page|  6636586183|         Allenton|2022-10-17|
|529|        867|      18|   0| 8617.04|               Eric|            Little|  8389414916|        Smithberg|2022-10-16|
| 81|        112|       5|   1|  129.89|             Carlos|             Banks|  2383969670|    Michelleburgh|2022-10-17|
|413|        607|       7|   1|    1.83|            William|            Sparks|  5141364001|    Port Loriview|2022-10-16|
|331|        124|      17|   1|   43.11|              Erika|           Perkins|  7585630485|     Brownchester|2022-10-17|
