[2022-10-25T15:59:58.325+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T15:58:33.423691+00:00 [queued]>
[2022-10-25T15:59:58.346+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T15:58:33.423691+00:00 [queued]>
[2022-10-25T15:59:58.348+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T15:59:58.350+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 2
[2022-10-25T15:59:58.351+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T15:59:58.382+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_enrich_transformed_data> on 2022-10-25 15:58:33.423691+00:00
[2022-10-25T15:59:58.396+0000] {standard_task_runner.py:54} INFO - Started process 6024 to run task
[2022-10-25T15:59:58.407+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_enrich_transformed_data', 'manual__2022-10-25T15:58:33.423691+00:00', '--job-id', '606', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmp5wwol73m']
[2022-10-25T15:59:58.413+0000] {standard_task_runner.py:83} INFO - Job 606: Subtask load_and_enrich_transformed_data
[2022-10-25T15:59:58.416+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-25T15:59:58.609+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T15:58:33.423691+00:00 [running]> on host faf467258cbc
[2022-10-25T15:59:58.811+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_enrich_transformed_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T15:58:33.423691+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T15:58:33.423691+00:00
[2022-10-25T16:00:44.417+0000] {logging_mixin.py:117} INFO - +---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
| id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|386|        744|      11|   0|    5.04|             Colton|            Reeves|  5550198017|        Smithberg|2022-10-18|
|140|         84|      10|   0|    6.82|             Victor|           Johnson|  3667130483|      Melissafurt|2022-10-16|
|520|        264|       6|   1|    5.25|           Jennifer|           Lindsey|  7776183630|     Edwardsburgh|2022-10-19|
|868|        417|      10|   1| 2739.98|            Mikayla|           Hoffman|  3336807187|Port Benjaminfurt|2022-10-18|
|134|        411|      13|   0|  257.59|             Hector|             Baker|  9795357476|         Clayview|2022-10-18|
|784|        652|       2|   1|81229.66|               Adam|            Rogers|  4876037822|      Veronicaton|2022-10-18|
|639|        626|       1|   0|   27.42|             Daniel|           Johnson|  1985819695|        Smithberg|2022-10-15|
|575|        406|       4|   1|    6.52|             Shelby|             Reyes|  0045345164|Port Benjaminfurt|2022-10-18|
| 34|        536|      14|   1|  9711.6|            Michael|              Kirk|  2580649831|       Robertland|2022-10-17|
|485|        136|       6|   0|  559.61|          Stephanie|            Meyers|  2201477739|      Veronicaton|2022-10-17|
|718|        229|      14|   0|  958.85|             Taylor|             Clark|  7355376004|    Port Loriview|2022-10-18|
|591|        788|      13|   1|    6.58|              Karen|             Wyatt|  0971363069|        Smithberg|2022-10-14|
|178|         96|       5|   0| 3125.46|           Nicholas|           Ballard|  4267858337|       Grahamstad|2022-10-18|
|646|        295|      13|   0|   88.13|            Vanessa|            Kelley|  8475076311|     Edwardsburgh|2022-10-18|
|660|        148|      12|   0| 9920.84|               Mark|              Wade|  1846360666|      Lake Karina|2022-10-19|
|217|        777|       1|   0|    3.06|              Brian|             Silva|  6632074650|New Marthaborough|2022-10-19|
|204|        809|      19|   0| 4823.75|            William|          Crawford|  1625265089|      Veronicaton|2022-10-15|
|328|        392|      10|   1|    49.9|             Denise|           Herrera|  2785146162|       Averymouth|2022-10-16|
|605|        340|       7|   0| 3030.65|              Shaun|            Pineda|  6218270751|    Port Loriview|2022-10-19|
|337|        253|       1|   0|    2.77|            Tiffany|          Townsend|  5296524100|New Marthaborough|2022-10-18|
|803|         71|       1|   1|   59.22|              Derek|             Kirby|  1266625225|      Veronicaton|2022-10-19|
|754|         58|       8|   0|  375.12|            Kenneth|           Johnson|  6953770302|      Lake Karina|2022-10-17|
|674|        116|       5|   1|    5.08|             Justin|              Ball|  5575090507|     Edwardsburgh|2022-10-18|
|295|        274|      13|   1|    5.72|              Bobby|              Mora|  0838178468|        Erikville|2022-10-15|
