[2022-10-25T16:09:17.732+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T15:58:33.423691+00:00 [success]>
[2022-10-25T16:09:17.763+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T15:58:33.423691+00:00 [success]>
[2022-10-25T16:09:17.765+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T16:09:17.766+0000] {taskinstance.py:1363} INFO - Starting attempt 2 of 2
[2022-10-25T16:09:17.769+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T16:09:17.793+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_enrich_transformed_data> on 2022-10-25 15:58:33.423691+00:00
[2022-10-25T16:09:17.810+0000] {standard_task_runner.py:54} INFO - Started process 7245 to run task
[2022-10-25T16:09:17.821+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_enrich_transformed_data', 'manual__2022-10-25T15:58:33.423691+00:00', '--job-id', '609', '--pool', 'default_pool', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmpf_picev6']
[2022-10-25T16:09:17.831+0000] {standard_task_runner.py:83} INFO - Job 609: Subtask load_and_enrich_transformed_data
[2022-10-25T16:09:17.835+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-25T16:09:18.105+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T15:58:33.423691+00:00 [running]> on host faf467258cbc
[2022-10-25T16:09:18.315+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_enrich_transformed_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T15:58:33.423691+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T15:58:33.423691+00:00
[2022-10-25T16:10:17.489+0000] {logging_mixin.py:117} INFO - +---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
| id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+---+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|386|        741|      11|   0|    5.04|             Colton|            Reeves|  3662054258|        Smithberg|2022-10-18|
|140|         84|      13|   0|    6.82|             Victor|           Johnson|  3667130483|      Melissafurt|2022-10-16|
|520|        264|      16|   1|    5.25|           Jennifer|           Lindsey|  7776183630|     Edwardsburgh|2022-10-19|
|868|        835|       3|   1| 2739.98|            Mikayla|           Hoffman|  7895595860|       Robertland|2022-10-18|
|134|        411|       6|   1|  257.59|             Hector|             Baker|  9795357476|         Clayview|2022-10-18|
|784|        117|      15|   1|81229.66|               Adam|            Rogers|  2291896642|     West Nichole|2022-10-18|
|639|        626|       9|   1|   27.42|             Daniel|           Johnson|  1985819695|        Smithberg|2022-10-15|
|575|        539|       4|   1|    6.52|             Shelby|             Reyes|  0900396146|        Smithberg|2022-10-18|
| 34|        536|       3|   0|  9711.6|            Michael|              Kirk|  2580649831|       Robertland|2022-10-17|
|485|        136|       4|   0|  559.61|          Stephanie|            Meyers|  2201477739|      Veronicaton|2022-10-17|
|718|        504|      14|   0|  958.85|             Taylor|             Clark|  6711955273|        Erikville|2022-10-18|
|591|        788|      10|   0|    6.58|              Karen|             Wyatt|  0971363069|        Smithberg|2022-10-14|
|178|        435|       3|   0| 3125.46|           Nicholas|           Ballard|  9615254147|     Edwardsburgh|2022-10-18|
|646|          8|       5|   0|   88.13|            Vanessa|            Kelley|  7829699887|      Veronicaton|2022-10-18|
|660|        569|      12|   0| 9920.84|               Mark|              Wade|  1806206561|      Melissafurt|2022-10-19|
|217|        392|       1|   1|    3.06|              Brian|             Silva|  0623222253|New Marthaborough|2022-10-19|
|204|        809|       2|   1| 4823.75|            William|          Crawford|  1625265089|      Veronicaton|2022-10-15|
|328|        392|       6|   1|    49.9|             Denise|           Herrera|  2785146162|       Averymouth|2022-10-16|
|605|        186|       7|   1| 3030.65|              Shaun|            Pineda|  4506390143|      Veronicaton|2022-10-19|
|337|        873|      15|   0|    2.77|            Tiffany|          Townsend|  5279649418|         Clayview|2022-10-18|
|803|         71|       8|   1|   59.22|              Derek|             Kirby|  1266625225|      Veronicaton|2022-10-19|
|754|         58|       5|   0|  375.12|            Kenneth|           Johnson|  6953770302|      Lake Karina|2022-10-17|
|674|        116|      19|   1|    5.08|             Justin|              Ball|  5575090507|     Edwardsburgh|2022-10-18|
|295|        274|      13|   1|    5.72|              Bobby|              Mora|  0838178468|        Erikville|2022-10-15|
