[2022-10-25T17:33:43.503+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T17:32:17.695787+00:00 [queued]>
[2022-10-25T17:33:43.532+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T17:32:17.695787+00:00 [queued]>
[2022-10-25T17:33:43.534+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T17:33:43.535+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 2
[2022-10-25T17:33:43.536+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T17:33:43.577+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_enrich_transformed_data> on 2022-10-25 17:32:17.695787+00:00
[2022-10-25T17:33:43.595+0000] {standard_task_runner.py:54} INFO - Started process 3325 to run task
[2022-10-25T17:33:43.607+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_enrich_transformed_data', 'manual__2022-10-25T17:32:17.695787+00:00', '--job-id', '622', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmpjs6o9hh_']
[2022-10-25T17:33:43.614+0000] {standard_task_runner.py:83} INFO - Job 622: Subtask load_and_enrich_transformed_data
[2022-10-25T17:33:43.616+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-25T17:33:43.866+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_enrich_transformed_data manual__2022-10-25T17:32:17.695787+00:00 [running]> on host caeffc6e0742
[2022-10-25T17:33:44.129+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_enrich_transformed_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T17:32:17.695787+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T17:32:17.695787+00:00
[2022-10-25T17:34:48.839+0000] {logging_mixin.py:117} INFO - +----+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|  id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+----+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|5868|         43|      13|   1|38014.02|             Daniel|            Torres|  3077753021|        Smithberg|2022-10-22|
|1576|        770|      14|   0|     2.2|            Natasha|            Wilson|  7638061782|Port Benjaminfurt|2022-10-25|
|8899|        792|      12|   1| 89496.1|            Crystal|             Clark|  9519175325|     Edwardsburgh|2022-10-25|
| 453|        736|      17|   1|  736.77|            Rebecca|              Rose|  4010305253|      Veronicaton|2022-10-16|
| 399|        423|       8|   1| 7186.36|                Joy|         Mcfarland|  1480094646|     West Nichole|2022-10-17|
| 570|        574|      19|   1| 75673.5|           Kristina|              Bell|  0407757614|  Lake Jamesville|2022-10-17|
|8156|        854|      10|   0|    9.07|             Brooke|             Brown|  2413557915|      Veronicaton|2022-10-24|
|2005|        822|       5|   0|  173.34|              Kathy|             Silva|  0488352605|        Erikville|2022-10-24|
| 639|        626|      11|   0|   27.42|             Daniel|           Johnson|  1985819695|        Smithberg|2022-10-15|
| 378|        358|       6|   1|  952.58|               Adam|            Flores|  2397054336|Port Benjaminfurt|2022-10-25|
|4871|        804|       9|   1| 1581.11|              Brett|              Ryan|  9479807956|       Averymouth|2022-10-23|
|  34|        536|       8|   1|  9711.6|            Michael|              Kirk|  2580649831|       Robertland|2022-10-17|
| 738|        748|       4|   0|    5.71|               Kyle|         Rodriguez|  4416489816|    Port Loriview|2022-10-18|
|  38|        881|      16|   1|  151.61|            Matthew|         Hendricks|  9044347780|    Michelleburgh|2022-10-15|
| 822|        567|      15|   1|    85.2|              Kevin|              Vang|  3870596599|      Lake Karina|2022-10-17|
| 156|        217|      17|   0|     6.5|               Sean|             Avila|  9585850561|    Michelleburgh|2022-10-16|
| 570|        574|       7|   0| 75673.5|           Kimberly|               Orr|  9750365311|Port Benjaminfurt|2022-10-17|
|2046|        257|      19|   1|   68.74|              Diana|            Finley|  0389281318|Port Benjaminfurt|2022-10-25|
|3245|        838|      20|   1|   23.23|              Brian|          Andersen|  7574402816|         Allenton|2022-10-24|
|5646|        589|      20|   1|   21.07|              Tammy|            Martin|  9565006841|    Port Loriview|2022-10-23|
| 204|        809|       6|   0| 4823.75|            William|          Crawford|  1625265089|      Veronicaton|2022-10-15|
|3684|        393|       2|   1|  665.32|             Steven|             Parks|  9041100131|    Michelleburgh|2022-10-25|
| 579|        678|      11|   1|   78.27|              Brent|            Flores|  9104700586|    Port Loriview|2022-10-16|
