[2022-10-25T17:33:10.389+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_transform_unified_data manual__2022-10-25T17:32:17.695787+00:00 [queued]>
[2022-10-25T17:33:10.424+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: unify_transform_enrich_data.load_and_transform_unified_data manual__2022-10-25T17:32:17.695787+00:00 [queued]>
[2022-10-25T17:33:10.427+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T17:33:10.429+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 2
[2022-10-25T17:33:10.431+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T17:33:10.468+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_transform_unified_data> on 2022-10-25 17:32:17.695787+00:00
[2022-10-25T17:33:10.484+0000] {standard_task_runner.py:54} INFO - Started process 3081 to run task
[2022-10-25T17:33:10.496+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'unify_transform_enrich_data', 'load_and_transform_unified_data', 'manual__2022-10-25T17:32:17.695787+00:00', '--job-id', '621', '--raw', '--subdir', 'DAGS_FOLDER/load_and_unify_datasets.py', '--cfg-path', '/tmp/tmp04hz4h3p']
[2022-10-25T17:33:10.503+0000] {standard_task_runner.py:83} INFO - Job 621: Subtask load_and_transform_unified_data
[2022-10-25T17:33:10.507+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/load_and_unify_datasets.py
[2022-10-25T17:33:10.716+0000] {task_command.py:384} INFO - Running <TaskInstance: unify_transform_enrich_data.load_and_transform_unified_data manual__2022-10-25T17:32:17.695787+00:00 [running]> on host caeffc6e0742
[2022-10-25T17:33:10.971+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=unify_transform_enrich_data
AIRFLOW_CTX_TASK_ID=load_and_transform_unified_data
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T17:32:17.695787+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T17:32:17.695787+00:00
[2022-10-25T17:33:35.443+0000] {logging_mixin.py:117} INFO - +----+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|  id|customer_id|store_id|type|  amount|customer_first_name|customer_last_name|phone_number|          address| timestamp|
+----+-----------+--------+----+--------+-------------------+------------------+------------+-----------------+----------+
|5868|       null|    null|   1|38014.02|             Daniel|            Torres|        null|             null|2022-10-22|
|1576|       null|    null|   0|     2.2|            Natasha|            Wilson|        null|             null|2022-10-25|
|8899|       null|    null|   1| 89496.1|            Crystal|             Clark|        null|             null|2022-10-25|
| 453|        736|    null|null|  736.77|            Rebecca|              Rose|  4010305253|      Veronicaton|2022-10-16|
| 399|        423|    null|null| 7186.36|                Joy|         Mcfarland|  1480094646|     West Nichole|2022-10-17|
| 570|        574|    null|null| 75673.5|           Kristina|              Bell|  0407757614|  Lake Jamesville|2022-10-17|
|8156|       null|    null|   0|    9.07|             Brooke|             Brown|        null|             null|2022-10-24|
|2005|        822|    null|null|  173.34|              Kathy|             Silva|  0488352605|        Erikville|2022-10-24|
| 639|        626|    null|null|   27.42|             Daniel|           Johnson|  1985819695|        Smithberg|2022-10-15|
| 378|        358|    null|null|  952.58|               Adam|            Flores|  2397054336|Port Benjaminfurt|2022-10-25|
|4871|       null|    null|   1| 1581.11|              Brett|              Ryan|        null|             null|2022-10-23|
|  34|        536|    null|null|  9711.6|            Michael|              Kirk|  2580649831|       Robertland|2022-10-17|
| 738|        748|    null|null|    5.71|               Kyle|         Rodriguez|  4416489816|    Port Loriview|2022-10-18|
|  38|        881|    null|null|  151.61|            Matthew|         Hendricks|  9044347780|    Michelleburgh|2022-10-15|
| 822|        567|    null|null|    85.2|              Kevin|              Vang|  3870596599|      Lake Karina|2022-10-17|
| 156|        217|    null|null|     6.5|               Sean|             Avila|  9585850561|    Michelleburgh|2022-10-16|
| 570|        574|    null|null| 75673.5|           Kimberly|               Orr|  9750365311|Port Benjaminfurt|2022-10-17|
|2046|       null|      19|null|   68.74|              Diana|            Finley|        null|             null|2022-10-25|
|3245|       null|      20|null|   23.23|              Brian|          Andersen|        null|             null|2022-10-24|
|5646|        589|    null|null|   21.07|              Tammy|            Martin|  9565006841|    Port Loriview|2022-10-23|
| 204|        809|    null|null| 4823.75|            William|          Crawford|  1625265089|      Veronicaton|2022-10-15|
|3684|       null|    null|   1|  665.32|             Steven|             Parks|        null|             null|2022-10-25|
| 579|        678|    null|null|   78.27|              Brent|            Flores|  9104700586|    Port Loriview|2022-10-16|
| 846|        664|    null|null|68330.31|             Joshua|              Page|  6636586183|         Allenton|2022-10-17|
| 803|         71|    null|null|   59.22|              Derek|             Kirby|  1266625225|      Veronicaton|2022-10-19|
